
image_name,psnr,lpips
69007.png,24.75,0.0904
69017.png,26.85,0.0811
69027.png,27.61,0.0623
69037.png,24.32,0.1107
69047.png,21.93,0.1119
69057.png,25.50,0.0601
69067.png,28.17,0.1114
69077.png,24.76,0.1413
69087.png,17.76,0.1288
69097.png,23.01,0.1113
69107.png,19.96,0.0876
69117.png,26.02,0.0986
69127.png,25.71,0.1028
69137.png,27.69,0.0800
69147.png,23.01,0.1343
69157.png,26.77,0.0977
69167.png,23.75,0.1079
69177.png,22.74,0.0894
69187.png,20.48,0.1386
69197.png,23.05,0.0873
69207.png,26.21,0.0714
69217.png,26.11,0.0902
69227.png,25.36,0.1245
69237.png,24.53,0.1011
69247.png,18.71,0.1553
69257.png,25.51,0.1056
69267.png,25.17,0.1000
69277.png,20.55,0.1433
69287.png,28.91,0.0732
69297.png,23.38,0.1041
69307.png,20.59,0.1066
69317.png,22.54,0.1099
69327.png,30.64,0.0772
69337.png,18.92,0.1086
69347.png,21.73,0.0947
69357.png,27.34,0.1059
69367.png,25.91,0.1262
69377.png,24.86,0.1262
69387.png,23.39,0.1088
69397.png,21.92,0.1246
69407.png,24.50,0.1058
69417.png,25.85,0.1032
69427.png,23.49,0.1105
69437.png,23.22,0.0999
69447.png,25.19,0.1182
69457.png,22.34,0.0958
69467.png,23.33,0.1107
69477.png,22.40,0.0886
69487.png,27.40,0.0851
69497.png,23.67,0.1198
69507.png,26.80,0.0805
69517.png,29.06,0.0624
69527.png,28.91,0.0731
69537.png,22.25,0.1175
69547.png,21.67,0.0947
69557.png,25.37,0.1135
69567.png,19.00,0.1467
69577.png,25.89,0.0747
69587.png,29.24,0.0707
69597.png,31.64,0.0666
69607.png,28.32,0.0913
69617.png,28.72,0.0907
69627.png,22.86,0.1397
69637.png,25.51,0.1188
69647.png,26.19,0.0836
69657.png,26.85,0.0756
69667.png,24.55,0.1236
69677.png,23.49,0.0981
69687.png,21.80,0.1135
69697.png,26.05,0.1082
69707.png,26.90,0.0810
69717.png,26.15,0.0811
69727.png,27.25,0.0677
69737.png,25.76,0.1085
69747.png,31.17,0.0898
69757.png,17.05,0.1517
69767.png,26.28,0.1247
69777.png,26.76,0.0919
69787.png,26.02,0.0690
69797.png,29.73,0.0720
69807.png,26.47,0.0936
69817.png,26.92,0.1242
69827.png,24.05,0.1198
69837.png,26.88,0.0873
69847.png,24.16,0.1217
69857.png,30.38,0.0672
69867.png,29.76,0.0766
69877.png,23.30,0.1050
69887.png,23.39,0.0931
69897.png,25.06,0.1017
69907.png,26.63,0.1005
69917.png,27.49,0.0924
69927.png,28.29,0.0809
69937.png,28.62,0.0523
69947.png,24.87,0.1076
69957.png,23.12,0.0956
69967.png,25.77,0.0795
69977.png,27.90,0.0812
69987.png,24.53,0.1097
69997.png,26.06,0.1310
GLOBAL_FID,0.4008,
